hgnc_symbol	class	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	entrez_gene_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
AKT3	STK	AGC	Akt	N/A	AKT	N/A	Not found by Ethan	AKT3	10000	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	AKT3	DKFZP434N0250	PKBG	PRKBG	RAC-PK-gamma	RAC-gamma	STK-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RAC-gamma serine/threonine protein kinase	protein kinase B gamma	"serine threonine protein kinase, Akt-3"	v-akt murine thymoma viral oncogene homolog 3	N/A	N/A	N/A	N/A	N/A	N/A
ALK	N/A	TK	ALK	N/A	ALK	ALK	ALK	ALK	238	anaplastic lymphoma kinase (Ki-1)	ALK	CD246	TFG/ALK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ALK tyrosine kinase receptor precursor	CD246 antigen	TRK-fused gene-anaplastic lymphoma kinase fusion protein	anaplastic lymphoma kinase Ki-1	N/A	N/A	N/A	N/A	N/A	N/A
LTK	N/A	TK	ALK	N/A	ALK	LTK	Not found by Jake	Not found	4058	leukocyte tyrosine kinase	LTK	TYK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein tyrosine kinase 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALPK1	N/A	Atypical	Alpha	Alpha-Unclassified	Not Found By Ethan	N/A	Not found by Ethan	Not found	80216	alpha-kinase 1	AlphaK3	8430410J10Rik	FLJ22670	KIAA1527	LAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lymphocyte alpha-kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALPK2	N/A	Atypical	Alpha	Alpha-Unclassified	Not Found By Ethan	N/A	Not found by Ethan	Not found	115701	alpha-kinase 2	AlphaK2	FLJ34875	FLJ43253	HAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	heart alpha-kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
ALPK3	N/A	Atypical	Alpha	Alpha-Unclassified	Not Found By Ethan	AlphaK1	Not found by Ethan	Not found	57538	alpha-kinase 3	AlphaK1	FLJ21176	KIAA1330	MAK	MIDORI	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	muscle alpha-kinase	myocyte induction differentiation originator	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRPM6	N/A	Atypical	Alpha	ChaK	N/A	N/A	Not found by Jake	Not found	140803	"transient receptor potential cation channel, subfamily M, member 6"	ChaK2	CHAK2	HMGX	HOMG	HSH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"hypomagnesemia, secondary hypocalcemia"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TRPM7	N/A	Atypical	Alpha	ChaK	N/A	N/A	Not found by Jake	TRPM7	54822	"transient receptor potential cation channel, subfamily M, member 7"	ChaK1	CHAK	CHAK1	FLJ20117	FLJ25718	LTRPC7	TRP-PLIK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	LTRPC ion channel family member 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
EEF2K	N/A	Atypical	Alpha	eEF2K	Not Found By Ethan	N/A	EEF2K	EEF2K	29904	eukaryotic elongation factor-2 kinase	eEF2K	HSU93850	MGC45041	eEF-2K	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	calcium/calmodulin-dependent eukaryotic elongation factor-2 kinase	calmodulin-dependent protein kinase III	eEF-2 kinase	elongation factor-2 kinase	N/A	N/A	N/A	N/A	N/A	N/A
AURKA	N/A	Other	Aur	N/A	AUR	AurA/Aur2	AurA/AURKA	AURKA	6790	aurora kinase A	AurA	AIK	ARK1	AURA	AURORA2	BTAK	MGC34538	STK15	STK6	STK7	N/A	N/A	N/A	N/A	IPL1-related kinase	aurora-A	aurora-related kinase 1	aurora/IPL1-like kinase	breast-tumor-amplified kinase	serine/threonine kinase 15	serine/threonine kinase 6	serine/threonine protein kinase 15	serine/threonine protein kinase 6	N/A
AURKB	N/A	Other	Aur	N/A	AUR	AurB/Aur1	AurB/AURKB	AURKB	9212	aurora kinase B	AurB	AIK2	AIM-1	AIM1	ARK2	AurB	IPL1	STK12	STK5	N/A	N/A	N/A	N/A	N/A	aurora-1	aurora-B	serine/threonine kinase 12	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AURKC	N/A	Other	Aur	N/A	AUR	AurC/Aur3	AurC/AURKC	AURKC	6795	aurora kinase C	AurC	AIE2	AIK3	AurC	STK13	aurora-C	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	aurora/IPL1-related kinase 3	aurora/IPL1/EG2 protein 2	serine/threonine kinase 13	serine/threonine kinase 13 (aurora/IPL1-like)	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	Other	Aur	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	Other	Aur	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	Other	Aur	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
AXL	N/A	TK	Axl	N/A	AXL	Axl	AXL	AXL	558	AXL receptor tyrosine kinase	AXL	UFO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	AXL transforming sequence/gene	oncogene AXL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MERTK	N/A	TK	Axl	N/A	AXL	Mer	Mer/MERTK	MERTK	10461	c-mer proto-oncogene tyrosine kinase	MER	MER	MGC133349	c-mer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MER receptor tyrosine kinase	STK kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TYRO3	N/A	TK	Axl	N/A	AXL	Tyro3/Sky	Not found by Jake	TYRO3	7301	TYRO3 protein tyrosine kinase	TYRO3	BYK	Brt	Dtk	RSE	Sky	Tif	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Tyro3 protein tyrosine kinase (sea-related receptor tyrosine kinase)	tyrosine-protein kinase receptor TYRO3 precursor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	TK	Axl	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BCR	N/A	Atypical	BCR	N/A	N/A	N/A	N/A	N/A	613	breakpoint cluster region	BCR	ALL	BCR/FGFR1	BCR1	CML	D22S11	D22S662	FGFR1/BCR	FLJ16453	PHL	N/A	N/A	N/A	N/A	BCR-ABL fusion	BCR-ABL fusion protein	BCR/ABL fusion	BCR/FGFR1 chimaeric fusion protein	BCRe18/ABL1e3 fusion protein	FGFR1/BCR chimaeric fusion protein	bcr/abl fusion protein	breakpoint cluster region protein	N/A	N/A
BRD2	N/A	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	6046	bromodomain containing 2	BRD2	D6S113E	DKFZp686N0336	FLJ31942	FSRG1	KIAA9001	NAT	RING3	RNF3	N/A	N/A	N/A	N/A	N/A	bromodomain containing protein 2	bromodomain-containing 2	female sterile homeotic-related gene 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRD3	N/A	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	8019	bromodomain containing 3	BRD3	KIAA0043	ORFX	RING3L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RING3-like gene	bromodomain containing protein 3	bromodomain-containing 3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRD4	N/A	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	23476	bromodomain containing 4	BRD4	CAP	HUNKI	MCAP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	bromodomain-containing 4	bromodomain-containing protein 4	chromosome-associated protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRDT	N/A	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	676	"bromodomain, testis-specific"	BRDT	BRD6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	testis-specific bromodomain protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BUB1	N/A	Other	BUB	N/A	Not Found By Ethan	Bub1	BUB1	BUB1	699	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	BUB1A	BUB1L	hBUB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	BUB1 budding uninhibited by benzimidazoles 1 homolog	budding uninhibited by benzimidazoles 1 (yeast homolog)	mitotic spindle checkpoint kinase	putative serine/threonine-protein kinase	N/A	N/A	N/A	N/A	N/A	N/A
BUB1B	N/A	Other	BUB	N/A	Not Found By Ethan	N/A	Not found by Ethan	Not found	701	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUBR1	BUB1beta	BUBR1	Bub1A	MAD3L	SSK1	hBUBR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	BUB1 budding uninhibited by benzimidazoles 1 homolog beta	MAD3/BUB1-related protein kinase	"budding uninhibited by benzimidazoles 1 (yeast homolog), beta"	N/A	N/A	N/A	N/A	N/A	N/A	N/A
TP53RK	N/A	Other	Bud32	N/A	Bud32	PRPK	Not found by Jake	TP53RK	112858	TP53 regulating kinase	PRPK	2	BUD32	C20orf64	Nori-2	Nori-2p	PRPK	dJ101A2	N/A	N/A	N/A	N/A	N/A	N/A	p53-related protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK1	N/A	CAMK	CAMK1	N/A	CAMK1	CaMK1[alpha]	CAMK1A/CAMK1	CAMK1	8536	calcium/calmodulin-dependent protein kinase I	CaMK1a	CAMKI	MGC120317	MGC120318	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK1D	N/A	CAMK	CAMK1	N/A	CAMK1	N/A	Not found by Ethan	CAMK1D	57118	calcium/calmodulin-dependent protein kinase ID	CaMK1d	CKLiK	CaM-K1	CaMKID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase ID	CamKI-like protein kinase	OTTHUMP00000045030	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK1G	N/A	CAMK	CAMK1	N/A	CAMK1	N/A	Not found by Ethan	Not found	57172	calcium/calmodulin-dependent protein kinase IG	CaMK1g	CLICKIII	VWS1	dJ272L16.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK4	N/A	CAMK	CAMK1	N/A	CAMK1	CaMK4	CAMK4	CAMK4	814	calcium/calmodulin-dependent protein kinase IV	CaMK4	CaMK-GR	MGC36771	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAM kinase IV	CAM kinase- GR	brain Ca(2+)-calmodulin-dependent protein kinase type IV	calcium/calmodulin-dependent protein kinase type IV catalytic chain	N/A	N/A	N/A	N/A	N/A	N/A
PNCK	N/A	CAMK	CAMK1	N/A	CAMK1	N/A	Not found by Jake	PNCK	139728	pregnancy upregulated non-ubiquitously expressed CaM kinase	CaMK1b	CaMK1b	MGC45419	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMK2A	N/A	CAMK	CAMK2	N/A	CAMK2	CaMK2[alpha]	CAMK2A	CAMK2A	815	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	CaMK2a	CAMKA	KIAA0968	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II alpha subunit	CaM-kinase II alpha chain	CaMK-II alpha subunit	calcium/calmodulin-dependent protein kinase II alpha-B subunit	calcium/calmodulin-dependent protein kinase IIA	calcium/calmodulin-dependent protein kinase type II alpha chain	N/A	N/A	N/A	N/A
CAMK2B	N/A	CAMK	CAMK2	N/A	CAMK2	CaMK2[beta]	CAMK2B	CAMK2B	816	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CaMK2b 	CAM2	CAMK2	CAMKB	MGC29528	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II beta subunit	CaM-kinase II beta chain	CaMK-II beta subunit	calcium/calmodulin-dependent protein kinase IIB	calcium/calmodulin-dependent protein kinase type II beta chain	proline rich calmodulin-dependent protein kinase	N/A	N/A	N/A	N/A
CAMK2D	N/A	CAMK	CAMK2	N/A	CAMK2	CaMK2[delta]	CAMK2D	CAMK2D	817	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	CaMK2d	CAMKD	MGC44911	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II delta subunit	CaM-kinase II delta chain	CaMK-II delta subunit	calcium/calmodulin-dependent protein kinase II delta	calcium/calmodulin-dependent protein kinase type II delta chain	N/A	N/A	N/A	N/A	N/A
CAMK2G	N/A	CAMK	CAMK2	N/A	CAMK2	CaMK2[gamma]	Not found by Ethan	CAMK2G	818	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	CaMK2g	CAMK	CAMK-II	CAMKG	FLJ16043	MGC26678	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II	calcium/calmodulin-dependent protein kinase II gamma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMKK1	N/A	Other	CAMKK	Meta	CAMKK	N/A	CAMKK1	CAMKK1	84254	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"	CaMKK1	CAMKKA	DKFZp761M0423	MGC34095	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMKK alpha protein	calcium/calmodulin-dependent protein kinase 1 alpha	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CAMKK2	N/A	Other	CAMKK	Meta	CAMKK	CAMKK2	Not found by Ethan	CAMKK2	10645	"calcium/calmodulin-dependent protein kinase kinase 2, beta"	CaMKK2	CAMKK	CAMKKB	KIAA0787	MGC15254	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMKK beta protein	calcium/calmodulin-dependent protein kinase beta	calcium/calmodulin-dependent protein kinase kinase 2 beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A
PRKAA1	N/A	CAMK	CAMKL	AMPK	AMPK	AMPK[alpha]1	Not found by Jake	PRKAA1	5562	"protein kinase, AMP-activated, alpha 1 catalytic subunit"	AMPKa1	AMPK	AMPKa1	MGC33776	MGC57364	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"5'-AMP-activated protein kinase, catalytic alpha-1 chain"	AMP -activate kinase alpha 1 subunit	"AMP-activated protein kinase, catalytic, alpha-1"	AMPK alpha 1	N/A	N/A	N/A	N/A	N/A	N/A
PRKAA2	N/A	CAMK	CAMKL	AMPK	AMPK	AMPK[alpha]2	Not found by Jake	PRKAA2	5563	"protein kinase, AMP-activated, alpha 2 catalytic subunit"	AMPKa2	AMPK	AMPK2	PRKAA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"5'-AMP-activated protein kinase, catalytic alpha-2 chain"	AMP-activated protein kinase alpha 2 catalytic subunit	AMPK-alpha-2 chain	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRSK1	N/A	CAMK	CAMKL	BRSK	BRSK	BRSK1	BRSK1_iso2/BRSK1	BRSK1	84446	BR serine/threonine kinase 1	BRSK1	FLJ43009	KIAA1811	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SAD1 kinase	protein kinase SAD1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
BRSK2	N/A	CAMK	CAMKL	BRSK	BRSK	BRSK2	Not found by Ethan	BRSK2	9024	BR serine/threonine kinase 2	BRSK2	C11orf7	FLJ41362	PEN11B	SAD1	STK29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	homolog of SAD-1 (C. elegans)	protein kinase SAD1B	serine/threonine kinase 29	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CHEK1	N/A	CAMK	CAMKL	CHK1	CHK1	CHK1	Chk1/CHEK1	CHEK1	1111	CHK1 checkpoint homolog (S. pombe)	CHK1	CHK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CHK1 checkpoint homolog	"Checkpoint, S. pombe, homolog of, 1"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
HUNK	N/A	CAMK	CAMKL	HUNK	N/A	N/A	Not found by Ethan	Not found	30811	hormonally upregulated Neu-associated kinase	HUNK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	hormonally upregulated neu tumor-associated kinase	serine/threonine protein kinase MAK-V	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
STK11	N/A	CAMK	CAMKL	LKB	LKB	Lkb1	Not found by Jake	STK11	6794	serine/threonine kinase 11	LKB1	LKB1	PJS	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	serine/threonine kinase 11 (Peutz-Jeghers syndrome)	serine/threonine protein kinase 11	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MARK1	N/A	CAMK	CAMKL	MARK	Not Found By Ethan	MARK1	MARK1	Not found	4139	MAP/microtubule affinity-regulating kinase 1	MARK1	KIAA1477	MARK	MGC126512	MGC126513	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MARK2	N/A	CAMK	CAMKL	MARK	Not Found By Ethan	MARK2	MARK2	MARK2	2011	MAP/microtubule affinity-regulating kinase 2	MARK2	EMK1	MGC99619	PAR-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ELKL motif kinase	ELKL motif kinase 1	protein-serine/threonine kinase	serine/threonine kinase	N/A	N/A	N/A	N/A	N/A	N/A
MARK3	N/A	CAMK	CAMKL	MARK	Not Found By Ethan	MARK3	MARK3	MARK3	4140	MAP/microtubule affinity-regulating kinase 3	MARK3	CTAK1	KP78	PAR1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
MARK4	N/A	CAMK	CAMKL	MARK	Not Found By Ethan	MARK4	Not found by Ethan	MARK4	57787	MAP/microtubule affinity-regulating kinase 4	MARK4	FLJ90097	KIAA1860	MARKL1	Nbla00650	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MAP/microtubule affinity-regulating kinase like 1	MARK4 serine/threonine protein kinase	putative protein product of Nbla00650	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
N/A	N/A	CAMK	CAMKL	MARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
