entrez_gene_id	hgnc_id	hgnc_symbol	hgnc_name	group	family	subfamily	krsa_id	uka_id	ptmsea_id	kea3_id	full_name	previous_symbol	synonym_1	synonym_2	synonym_3	synonym_4	synonym_5	synonym_6	synonym_7	synonym_8	synonym_9	synonym_10	synonym_11	synonym_12	synonym_13	other_designation_1	other_designation_2	other_designation_3	other_designation_4	other_designation_5	other_designation_6	other_designation_7	other_designation_8	other_designation_9	other_designation_10
208	HGNC:392	AKT2	AKT serine/threonine kinase 2	AGC	Akt	N/A	AKT	Akt2/PKB[beta]	Akt2/AKT2	AKT2	v-akt murine thymoma viral oncogene homolog 2	AKT2	PKBBETA	PRKBB	RAC-BETA	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Murine thymoma viral (v-akt) homolog-2	rac protein kinase beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10000	HGNC:393	AKT3	AKT serine/threonine kinase 3	AGC	Akt	N/A	AKT	N/A	N/A	AKT3	"v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)"	AKT3	DKFZP434N0250	PKBG	PRKBG	RAC-PK-gamma	RAC-gamma	STK-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RAC-gamma serine/threonine protein kinase	protein kinase B gamma	"serine threonine protein kinase, Akt-3"	v-akt murine thymoma viral oncogene homolog 3	N/A	N/A	N/A	N/A	N/A	N/A
238	HGNC:427	ALK	ALK receptor tyrosine kinase	TK	ALK	N/A	ALK	ALK	ALK	ALK	anaplastic lymphoma kinase (Ki-1)	ALK	CD246	TFG/ALK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ALK tyrosine kinase receptor precursor	CD246 antigen	TRK-fused gene-anaplastic lymphoma kinase fusion protein	anaplastic lymphoma kinase Ki-1	N/A	N/A	N/A	N/A	N/A	N/A
4058	HGNC:6721	LTK	leukocyte receptor tyrosine kinase	TK	ALK	N/A	ALK	LTK	N/A	Not found	leukocyte tyrosine kinase	LTK	TYK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	protein tyrosine kinase 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
80216	HGNC:20917	ALPK1	alpha kinase 1	Atypical	Alpha	Alpha-Unclassified	N/A	AlphaK1	N/A	Not found	alpha-kinase 1	AlphaK3	8430410J10Rik	FLJ22670	KIAA1527	LAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	lymphocyte alpha-kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
115701	HGNC:20565	ALPK2	alpha kinase 2	Atypical	Alpha	Alpha-Unclassified	N/A	N/A	N/A	Not found	alpha-kinase 2	AlphaK2	FLJ34875	FLJ43253	HAK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	heart alpha-kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
57538	HGNC:17574	ALPK3	alpha kinase 3	Atypical	Alpha	Alpha-Unclassified	N/A	AlphaK1	N/A	Not found	alpha-kinase 3	AlphaK1	FLJ21176	KIAA1330	MAK	MIDORI	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	muscle alpha-kinase	myocyte induction differentiation originator	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
29904	HGNC:24615	EEF2K	eukaryotic elongation factor 2 kinase	Atypical	Alpha	eEF2K	N/A	N/A	EEF2K	EEF2K	eukaryotic elongation factor-2 kinase	eEF2K	HSU93850	MGC45041	eEF-2K	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	calcium/calmodulin-dependent eukaryotic elongation factor-2 kinase	calmodulin-dependent protein kinase III	eEF-2 kinase	elongation factor-2 kinase	N/A	N/A	N/A	N/A	N/A	N/A
140803	HGNC:17995	TRPM6	transient receptor potential cation channel subfamily M member 6	Atypical	Alpha	ChaK	N/A	N/A	N/A	Not found	"transient receptor potential cation channel, subfamily M, member 6"	ChaK2	CHAK2	HMGX	HOMG	HSH	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"hypomagnesemia, secondary hypocalcemia"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
54822	HGNC:17994	TRPM7	transient receptor potential cation channel subfamily M member 7	Atypical	Alpha	ChaK	N/A	N/A	N/A	TRPM7	"transient receptor potential cation channel, subfamily M, member 7"	ChaK1	CHAK	CHAK1	FLJ20117	FLJ25718	LTRPC7	TRP-PLIK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	LTRPC ion channel family member 7	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6790	HGNC:11393	AURKA	aurora kinase A	Other	Aur	N/A	AUR	AurA/Aur2	AurA/AURKA	AURKA	aurora kinase A	AurA	AIK	ARK1	AURA	AURORA2	BTAK	MGC34538	STK15	STK6	STK7	N/A	N/A	N/A	N/A	IPL1-related kinase	aurora-A	aurora-related kinase 1	aurora/IPL1-like kinase	breast-tumor-amplified kinase	serine/threonine kinase 15	serine/threonine kinase 6	serine/threonine protein kinase 15	serine/threonine protein kinase 6	N/A
9212	HGNC:11390	AURKB	aurora kinase B	Other	Aur	N/A	AUR	AurB/Aur1	AurB/AURKB	AURKB	aurora kinase B	AurB	AIK2	AIM-1	AIM1	ARK2	AurB	IPL1	STK12	STK5	N/A	N/A	N/A	N/A	N/A	aurora-1	aurora-B	serine/threonine kinase 12	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6795	HGNC:11391	AURKC	aurora kinase C	Other	Aur	N/A	AUR	AurC/Aur3	AurC/AURKC	AURKC	aurora kinase C	AurC	AIE2	AIK3	AurC	STK13	aurora-C	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	aurora/IPL1-related kinase 3	aurora/IPL1/EG2 protein 2	serine/threonine kinase 13	serine/threonine kinase 13 (aurora/IPL1-like)	N/A	N/A	N/A	N/A	N/A	N/A
558	HGNC:905	AXL	AXL receptor tyrosine kinase	TK	Axl	N/A	AXL	Axl	AXL	AXL	AXL receptor tyrosine kinase	AXL	UFO	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	AXL transforming sequence/gene	oncogene AXL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10461	HGNC:7027	MERTK	"MER proto-oncogene, tyrosine kinase"	TK	Axl	N/A	AXL	Mer	Mer/MERTK	MERTK	c-mer proto-oncogene tyrosine kinase	MER	MER	MGC133349	c-mer	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MER receptor tyrosine kinase	STK kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
7301	HGNC:12446	TYRO3	TYRO3 protein tyrosine kinase	TK	Axl	N/A	AXL	Tyro3/Sky	N/A	TYRO3	TYRO3 protein tyrosine kinase	TYRO3	BYK	Brt	Dtk	RSE	Sky	Tif	N/A	N/A	N/A	N/A	N/A	N/A	N/A	Tyro3 protein tyrosine kinase (sea-related receptor tyrosine kinase)	tyrosine-protein kinase receptor TYRO3 precursor	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
613	HGNC:1014	BCR	BCR activator of RhoGEF and GTPase	Atypical	BCR	N/A	N/A	N/A	N/A	N/A	breakpoint cluster region	BCR	ALL	BCR/FGFR1	BCR1	CML	D22S11	D22S662	FGFR1/BCR	FLJ16453	PHL	N/A	N/A	N/A	N/A	BCR-ABL fusion	BCR-ABL fusion protein	BCR/ABL fusion	BCR/FGFR1 chimaeric fusion protein	BCRe18/ABL1e3 fusion protein	FGFR1/BCR chimaeric fusion protein	bcr/abl fusion protein	breakpoint cluster region protein	N/A	N/A
676	HGNC:1105	BRDT	bromodomain testis associated	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	"bromodomain, testis-specific"	BRDT	BRD6	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	testis-specific bromodomain protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
6046	HGNC:1103	BRD2	bromodomain containing 2	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	bromodomain containing 2	BRD2	D6S113E	DKFZp686N0336	FLJ31942	FSRG1	KIAA9001	NAT	RING3	RNF3	N/A	N/A	N/A	N/A	N/A	bromodomain containing protein 2	bromodomain-containing 2	female sterile homeotic-related gene 1	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8019	HGNC:1104	BRD3	bromodomain containing 3	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	bromodomain containing 3	BRD3	KIAA0043	ORFX	RING3L	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	RING3-like gene	bromodomain containing protein 3	bromodomain-containing 3	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23476	HGNC:13575	BRD4	bromodomain containing 4	Atypical	BRD	N/A	N/A	N/A	N/A	N/A	bromodomain containing 4	BRD4	CAP	HUNKI	MCAP	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	bromodomain-containing 4	bromodomain-containing protein 4	chromosome-associated protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A
699	HGNC:1148	BUB1	BUB1 mitotic checkpoint serine/threonine kinase	Other	BUB	N/A	N/A	Bub1	BUB1	BUB1	BUB1 budding uninhibited by benzimidazoles 1 homolog (yeast)	BUB1	BUB1A	BUB1L	hBUB1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	BUB1 budding uninhibited by benzimidazoles 1 homolog	budding uninhibited by benzimidazoles 1 (yeast homolog)	mitotic spindle checkpoint kinase	putative serine/threonine-protein kinase	N/A	N/A	N/A	N/A	N/A	N/A
701	HGNC:1149	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	Other	BUB	N/A	N/A	N/A	N/A	Not found	BUB1 budding uninhibited by benzimidazoles 1 homolog beta (yeast)	BUBR1	BUB1beta	BUBR1	Bub1A	MAD3L	SSK1	hBUBR1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	BUB1 budding uninhibited by benzimidazoles 1 homolog beta	MAD3/BUB1-related protein kinase	"budding uninhibited by benzimidazoles 1 (yeast homolog), beta"	N/A	N/A	N/A	N/A	N/A	N/A	N/A
112858	HGNC:16197	TP53RK	TP53 regulating kinase	Other	Bud32	N/A	Bud32	PRPK	N/A	TP53RK	TP53 regulating kinase	PRPK	2	BUD32	C20orf64	Nori-2	Nori-2p	PRPK	dJ101A2	N/A	N/A	N/A	N/A	N/A	N/A	p53-related protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
79012	HGNC:28788	CAMKV	CaM kinase like vesicle associated	CAMK	CAMK-Unique	N/A	CAMK	N/A	N/A	Not found	CaM kinase-like vesicle-associated	VACAMKL	1G5	MGC8407	VACAMKL	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	vesicle-associated calmodulin-binding protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
65975	HGNC:14568	STK33	serine/threonine kinase 33	CAMK	CAMK-Unique	N/A	N/A	STK33	N/A	STK33	serine/threonine kinase 33	STK33	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
8536	HGNC:1459	CAMK1	calcium/calmodulin dependent protein kinase I	CAMK	CAMK1	N/A	CAMK1	CaMK1[alpha]	CAMK1A/CAMK1	CAMK1	calcium/calmodulin-dependent protein kinase I	CaMK1a	CAMKI	MGC120317	MGC120318	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
57118	HGNC:19341	CAMK1D	calcium/calmodulin dependent protein kinase ID	CAMK	CAMK1	N/A	CAMK1	N/A	N/A	CAMK1D	calcium/calmodulin-dependent protein kinase ID	CaMK1d	CKLiK	CaM-K1	CaMKID	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase ID	CamKI-like protein kinase	OTTHUMP00000045030	N/A	N/A	N/A	N/A	N/A	N/A	N/A
57172	HGNC:14585	CAMK1G	calcium/calmodulin dependent protein kinase IG	CAMK	CAMK1	N/A	CAMK1	N/A	N/A	Not found	calcium/calmodulin-dependent protein kinase IG	CaMK1g	CLICKIII	VWS1	dJ272L16.1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
814	HGNC:1464	CAMK4	calcium/calmodulin dependent protein kinase IV	CAMK	CAMK1	N/A	CAMK1	CaMK4	CAMK4	CAMK4	calcium/calmodulin-dependent protein kinase IV	CaMK4	CaMK-GR	MGC36771	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAM kinase IV	CAM kinase- GR	brain Ca(2+)-calmodulin-dependent protein kinase type IV	calcium/calmodulin-dependent protein kinase type IV catalytic chain	N/A	N/A	N/A	N/A	N/A	N/A
139728	HGNC:13415	PNCK	pregnancy up-regulated nonubiquitous CaM kinase	CAMK	CAMK1	N/A	CAMK1	N/A	N/A	PNCK	pregnancy upregulated non-ubiquitously expressed CaM kinase	CaMK1b	CaMK1b	MGC45419	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
815	HGNC:1460	CAMK2A	calcium/calmodulin dependent protein kinase II alpha	CAMK	CAMK2	N/A	CAMK2	CaMK2[alpha]	CAMK2A	CAMK2A	calcium/calmodulin-dependent protein kinase (CaM kinase) II alpha	CaMK2a	CAMKA	KIAA0968	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II alpha subunit	CaM-kinase II alpha chain	CaMK-II alpha subunit	calcium/calmodulin-dependent protein kinase II alpha-B subunit	calcium/calmodulin-dependent protein kinase IIA	calcium/calmodulin-dependent protein kinase type II alpha chain	N/A	N/A	N/A	N/A
816	HGNC:1461	CAMK2B	calcium/calmodulin dependent protein kinase II beta	CAMK	CAMK2	N/A	CAMK2	CaMK2[beta]	CAMK2B	CAMK2B	calcium/calmodulin-dependent protein kinase (CaM kinase) II beta	CaMK2b 	CAM2	CAMK2	CAMKB	MGC29528	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II beta subunit	CaM-kinase II beta chain	CaMK-II beta subunit	calcium/calmodulin-dependent protein kinase IIB	calcium/calmodulin-dependent protein kinase type II beta chain	proline rich calmodulin-dependent protein kinase	N/A	N/A	N/A	N/A
817	HGNC:1462	CAMK2D	calcium/calmodulin dependent protein kinase II delta	CAMK	CAMK2	N/A	CAMK2	CaMK2[delta]	CAMK2D	CAMK2D	calcium/calmodulin-dependent protein kinase (CaM kinase) II delta	CaMK2d	CAMKD	MGC44911	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II delta subunit	CaM-kinase II delta chain	CaMK-II delta subunit	calcium/calmodulin-dependent protein kinase II delta	calcium/calmodulin-dependent protein kinase type II delta chain	N/A	N/A	N/A	N/A	N/A
818	HGNC:1463	CAMK2G	calcium/calmodulin dependent protein kinase II gamma	CAMK	CAMK2	N/A	CAMK2	CaMK2[gamma]	N/A	CAMK2G	calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma	CaMK2g	CAMK	CAMK-II	CAMKG	FLJ16043	MGC26678	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CaM kinase II	calcium/calmodulin-dependent protein kinase II gamma	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
84254	HGNC:1469	CAMKK1	calcium/calmodulin dependent protein kinase kinase 1	Other	CAMKK	Meta	CAMKK	CaMK4	CAMKK1	CAMKK1	"calcium/calmodulin-dependent protein kinase kinase 1, alpha"	CaMKK1	CAMKKA	DKFZp761M0423	MGC34095	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMKK alpha protein	calcium/calmodulin-dependent protein kinase 1 alpha	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
10645	HGNC:1470	CAMKK2	calcium/calmodulin dependent protein kinase kinase 2	Other	CAMKK	Meta	CAMKK	CAMKK2	N/A	CAMKK2	"calcium/calmodulin-dependent protein kinase kinase 2, beta"	CaMKK2	CAMKK	CAMKKB	KIAA0787	MGC15254	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CAMKK beta protein	calcium/calmodulin-dependent protein kinase beta	calcium/calmodulin-dependent protein kinase kinase 2 beta	N/A	N/A	N/A	N/A	N/A	N/A	N/A
84446	HGNC:18994	BRSK1	BR serine/threonine kinase 1	CAMK	CAMKL	BRSK	BRSK	BRSK1	BRSK1_iso2/BRSK1	BRSK1	BR serine/threonine kinase 1	BRSK1	FLJ43009	KIAA1811	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SAD1 kinase	protein kinase SAD1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9024	HGNC:11405	BRSK2	BR serine/threonine kinase 2	CAMK	CAMKL	BRSK	BRSK	BRSK2	N/A	BRSK2	BR serine/threonine kinase 2	BRSK2	C11orf7	FLJ41362	PEN11B	SAD1	STK29	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	homolog of SAD-1 (C. elegans)	protein kinase SAD1B	serine/threonine kinase 29	N/A	N/A	N/A	N/A	N/A	N/A	N/A
1111	HGNC:1925	CHEK1	checkpoint kinase 1	CAMK	CAMKL	CHK1	CHK1	CHK1	Chk1/CHEK1	CHEK1	CHK1 checkpoint homolog (S. pombe)	CHK1	CHK1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	CHK1 checkpoint homolog	"Checkpoint, S. pombe, homolog of, 1"	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
30811	HGNC:13326	HUNK	hormonally up-regulated Neu-associated kinase	CAMK	CAMKL	HUNK	CAMK	N/A	N/A	Not found	hormonally upregulated Neu-associated kinase	HUNK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	hormonally upregulated neu tumor-associated kinase	serine/threonine protein kinase MAK-V	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
4139	HGNC:6896	MARK1	microtubule affinity regulating kinase 1	CAMK	CAMKL	MARK	N/A	MARK1	MARK1	Not found	MAP/microtubule affinity-regulating kinase 1	MARK1	KIAA1477	MARK	MGC126512	MGC126513	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
2011	HGNC:3332	MARK2	microtubule affinity regulating kinase 2	CAMK	CAMKL	MARK	N/A	MARK2	MARK2	MARK2	MAP/microtubule affinity-regulating kinase 2	MARK2	EMK1	MGC99619	PAR-1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	ELKL motif kinase	ELKL motif kinase 1	protein-serine/threonine kinase	serine/threonine kinase	N/A	N/A	N/A	N/A	N/A	N/A
4140	HGNC:6897	MARK3	microtubule affinity regulating kinase 3	CAMK	CAMKL	MARK	N/A	MARK3	MARK3	MARK3	MAP/microtubule affinity-regulating kinase 3	MARK3	CTAK1	KP78	PAR1A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
57787	HGNC:13538	MARK4	microtubule affinity regulating kinase 4	CAMK	CAMKL	MARK	N/A	MARK4	N/A	MARK4	MAP/microtubule affinity-regulating kinase 4	MARK4	FLJ90097	KIAA1860	MARKL1	Nbla00650	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	MAP/microtubule affinity-regulating kinase like 1	MARK4 serine/threonine protein kinase	putative protein product of Nbla00650	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9833	HGNC:16870	MELK	maternal embryonic leucine zipper kinase	CAMK	CAMKL	MELK	MELK	MELK	MELK	MELK	maternal embryonic leucine zipper kinase	MELK	HPK38	KIAA0175	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	OTTHUMP00000046113	pEg3 kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
167359	HGNC:28646	NIM1K	NIM1 serine/threonine protein kinase	CAMK	CAMKL	NIM1	N/A	N/A	N/A	NIM1K	N/A	NIM1	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	hypothetical protein LOC167359	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
9891	HGNC:14311	NUAK1	NUAK family kinase 1	CAMK	CAMKL	NuaK	NuaK	NuaK1	N/A	NUAK1	"NUAK family, SNF1-like kinase, 1"	NuaK1	ARK5	KIAA0537	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	AMP-activated protein kinase family member 5	AMPK-related protein kinase 5	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
81788	HGNC:29558	NUAK2	NUAK family kinase 2	CAMK	CAMKL	NuaK	NuaK	NuaK2	N/A	NUAK2	"NUAK family, SNF1-like kinase, 2"	NuaK2	DKFZP434J037	DKFZp686F01113	FLJ90349	SNARK	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	SNF1/AMP activated protein kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
23178	HGNC:17270	PASK	PAS domain containing serine/threonine kinase	CAMK	CAMKL	PASK	PASK	PASK	N/A	PASK	PAS domain containing serine/threonine kinase	PASK	DKFZP434O051	DKFZp686P2031	KIAA0135	PASKIN	STK37	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	PAS-serine/threonine kinase	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
5562	HGNC:9376	PRKAA1	protein kinase AMP-activated catalytic subunit alpha 1	CAMK	CAMKL	AMPK	AMPK	AMPK[alpha]1	N/A	PRKAA1	"protein kinase, AMP-activated, alpha 1 catalytic subunit"	AMPKa1	AMPK	AMPKa1	MGC33776	MGC57364	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	"5'-AMP-activated protein kinase, catalytic alpha-1 chain"	AMP -activate kinase alpha 1 subunit	"AMP-activated protein kinase, catalytic, alpha-1"	AMPK alpha 1	N/A	N/A	N/A	N/A	N/A	N/A
