Kinase	Score	Rank	Method	Perc	Qrt	Uniprot_Gene	KinaseFamily
PKG1	0.385611007608889	64	UKA	0.17105263157894737	4	PRKG1	PKG
Pim2	0.365854971692985	66	UKA	0.14473684210526316	4	PIM2	PIM
CDK10	0.33625796876419	69	UKA	0.10526315789473684	4	CDK10	CDK
CK2[alpha]1	0.33875869952436	68	UKA	0.11842105263157894	4	CSNK2A1	CK2
PKC[beta]	0.300581205884977	70	UKA	0.09210526315789473	4	PRKCB	PKCA
MSK1	0.282022906589883	71	UKA	0.07894736842105263	4	RPS6KA5	RSK
MSK1	0.282022906589883	71	UKA	0.07894736842105263	4	SIK1	QIK
RSK1/p90RSK	0.275640782963577	72	UKA	0.06578947368421052	4	RPS6KA1	RSK
ROCK2	0.259587450331734	73	UKA	0.05263157894736842	4	ROCK2	DMPK
RSK2	0.233790947969993	74	UKA	0.039473684210526314	4	RPS6KA3	RSK
PKN1/PRK1	0.136685615673803	75	UKA	0.02631578947368421	4	NA	NA
CaMK2[alpha]	0.0016444449790198	76	UKA	0.013157894736842105	4	CAMK2A	CAMK2
NuaK1	0.00130510366066176	77	UKA	0	4	NUAK1	NuaK
DYRK	-4.747649594848348	1	KRSA	1	1	DYRK1A	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	DYRK1B	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	DYRK2	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	HIPK2	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	DYRK3	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	DYRK4	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	HIPK1	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	HIPK3	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	HIPK4	DYRK
DYRK	-4.747649594848348	1	KRSA	1	1	PRPF4B	DYRK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK1	ERK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK15	ERK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK3	ERK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK7	ERK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK6	ERK
ERK	-4.068731652936763	2	KRSA	0.9875	1	MAPK4	ERK
PKG	3.9936376616672296	3	KRSA	0.975	1	PRKG1	PKG
PKG	3.9936376616672296	3	KRSA	0.975	1	PRKG2	PKG
PKA	3.790063569459519	4	KRSA	0.9625	1	PRKACA	PKA
PKA	3.790063569459519	4	KRSA	0.9625	1	PRKX	PKA
PKA	3.790063569459519	4	KRSA	0.9625	1	PRKY	PKA
PKA	3.790063569459519	4	KRSA	0.9625	1	PRKACB	PKA
PKA	3.790063569459519	4	KRSA	0.9625	1	PRKACG	PKA
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA1	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA3	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA5	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KB1	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KB2	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA2	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA4	RSK
RSK	3.6371742874830475	5	KRSA	0.95	1	RPS6KA6	RSK
JNK	-3.566617716694433	6	KRSA	0.9375	1	MAPK10	JNK
JNK	-3.566617716694433	6	KRSA	0.9375	1	MAPK8	JNK
JNK	-3.566617716694433	6	KRSA	0.9375	1	MAPK9	JNK
P38	-3.500537327861371	7	KRSA	0.925	1	NA	P38
AMPK	3.266326368563885	8	KRSA	0.9125	1	PRKAA1	AMPK
AMPK	3.266326368563885	8	KRSA	0.9125	1	PRKAA2	AMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	ROCK1	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	ROCK2	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	CDC42BPA	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	DMPK	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	CDC42BPB	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	CDC42BPG	DMPK
DMPK	3.110143853354886	9	KRSA	0.9	1	CIT	DMPK
AKT	3.0158996788079024	10	KRSA	0.8875	1	AKT1	AKT
AKT	3.0158996788079024	10	KRSA	0.8875	1	AKT2	AKT
AKT	3.0158996788079024	10	KRSA	0.8875	1	AKT3	AKT
PDK1	-2.739343365675073	11	KRSA	0.875	1	PDK1	PDK1
PDK1	-2.739343365675073	11	KRSA	0.875	1	PDPK1	PDK1
PAKB	2.335699856006066	12	KRSA	0.8625	1	PAK4	PAKB
PAKB	2.335699856006066	12	KRSA	0.8625	1	PAK6	PAKB
PAKB	2.335699856006066	12	KRSA	0.8625	1	PAK5	PAKB
CAMK1	2.314568661063644	13	KRSA	0.85	1	CAMK1	CAMK1
CAMK1	2.314568661063644	13	KRSA	0.85	1	CAMK4	CAMK1
CAMK1	2.314568661063644	13	KRSA	0.85	1	CAMK1D	CAMK1
CAMK1	2.314568661063644	13	KRSA	0.85	1	PNCK	CAMK1
CAMK1	2.314568661063644	13	KRSA	0.85	1	CAMK1G	CAMK1
RAD53	2.3075180736485694	14	KRSA	0.8375	1	NA	RAD53
NMO	-2.139986441390673	15	KRSA	0.825	1	NA	NMO
MST	-1.8686945656085046	16	KRSA	0.8125	1	STK3	MST
MST	-1.8686945656085046	16	KRSA	0.8125	1	STK4	MST
PAKA	1.837131992885559	17	KRSA	0.8	1	PAK1	PAKA
PAKA	1.837131992885559	17	KRSA	0.8	1	PAK2	PAKA
PAKA	1.837131992885559	17	KRSA	0.8	1	PAK3	PAKA
PIM	1.7974990042334944	18	KRSA	0.7875	1	PIM1	PIM
PIM	1.7974990042334944	18	KRSA	0.7875	1	PIM2	PIM
PIM	1.7974990042334944	18	KRSA	0.7875	1	PIM3	PIM
PLK	-1.740075140870283	19	KRSA	0.775	1	PLK1	PLK
PLK	-1.740075140870283	19	KRSA	0.775	1	PLK3	PLK
PLK	-1.740075140870283	19	KRSA	0.775	1	PLK4	PLK
PLK	-1.740075140870283	19	KRSA	0.775	1	PLK2	PLK
PLK	-1.740075140870283	19	KRSA	0.775	1	PLK5	PLK
MOS	1.6735830508632912	20	KRSA	0.7625	1	NA	MOS
TAO	1.6480635251408329	21	KRSA	0.75	1	TAOK1	TAO
TAO	1.6480635251408329	21	KRSA	0.75	1	TAOK2	TAO
TAO	1.6480635251408329	21	KRSA	0.75	1	TAOK3	TAO
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK1	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK2	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK3	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK4	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK5	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK6	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK7	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK8	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK9	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK12	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK14	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK15	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK16	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK20	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK10	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK11A	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK17	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK18	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK19	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK11B	CDK
CDK	-1.6284923800293827	22	KRSA	0.7375	2	CDK13	CDK
PKD	1.426300494660416	23	KRSA	0.725	2	PRKD1	PKD
PKD	1.426300494660416	23	KRSA	0.725	2	PRKD2	PKD
PKD	1.426300494660416	23	KRSA	0.725	2	PRKD3	PKD
PKCI	1.4211748544085787	24	KRSA	0.7125	2	PRKCI	PKCI
PKCI	1.4211748544085787	24	KRSA	0.7125	2	PRKCZ	PKCI
AUR	1.4166489609678923	25	KRSA	0.7	2	AURKA	AUR
AUR	1.4166489609678923	25	KRSA	0.7	2	AURKB	AUR
AUR	1.4166489609678923	25	KRSA	0.7	2	AURKC	AUR
GSK	-1.4131722710741506	26	KRSA	0.6875	2	GSK3A	GSK
GSK	-1.4131722710741506	26	KRSA	0.6875	2	GSK3B	GSK
LKB	-1.4047000305472792	27	KRSA	0.675	2	STK11	LKB
MLCK	-1.39953954327346	28	KRSA	0.6625	2	MYLK2	MLCK
MLCK	-1.39953954327346	28	KRSA	0.6625	2	TTN	MLCK
MLCK	-1.39953954327346	28	KRSA	0.6625	2	MYLK	MLCK
VRK1	-1.3786581791249313	29	KRSA	0.65	2	VRK1	VRK1
MARK	1.2883683097309313	30	KRSA	0.6375	2	Smok1	MARK
MARK	1.2883683097309313	30	KRSA	0.6375	2	Smok2a	MARK
MARK	1.2883683097309313	30	KRSA	0.6375	2	Smok2b	MARK
PDHK	1.2640495469500173	31	KRSA	0.625	2	PDK2	PDHK
PDHK	1.2640495469500173	31	KRSA	0.625	2	BCKDK	PDHK
PDHK	1.2640495469500173	31	KRSA	0.625	2	PDK3	PDHK
PDHK	1.2640495469500173	31	KRSA	0.625	2	PDK4	PDHK
ATM	-1.1837524304759162	32	KRSA	0.6125	2	ATM	ATM
IRAK	-1.1548754589474293	33	KRSA	0.6	2	IRAK1	IRAK
IRAK	-1.1548754589474293	33	KRSA	0.6	2	IRAK4	IRAK
IRAK	-1.1548754589474293	33	KRSA	0.6	2	IRAK3	IRAK
IRAK	-1.1548754589474293	33	KRSA	0.6	2	IRAK2	IRAK
MAPKAPK	1.0775069353163245	34	KRSA	0.5875	2	MAPKAPK2	MAPKAPK
MAPKAPK	1.0775069353163245	34	KRSA	0.5875	2	MAPKAPK5	MAPKAPK
MAPKAPK	1.0775069353163245	34	KRSA	0.5875	2	MAPKAPK3	MAPKAPK
MAPKAPK	1.0775069353163245	34	KRSA	0.5875	2	MKNK1	MAPKAPK
MAPKAPK	1.0775069353163245	34	KRSA	0.5875	2	MKNK2	MAPKAPK
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K1	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K4	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K6	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K7	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K2	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K3	STE7
STE7	-1.0642941238924126	35	KRSA	0.575	2	MAP2K5	STE7
BARK2	-1.024828155218426	36	KRSA	0.5625	2	GRK3	BARK2
MSN	1.0171252838855422	37	KRSA	0.55	2	MAP4K4	MSN
MSN	1.0171252838855422	37	KRSA	0.55	2	TNIK	MSN
MSN	1.0171252838855422	37	KRSA	0.55	2	NRK	MSN
SGK	1.013294053212513	38	KRSA	0.5375	2	SGK1	SGK
SGK	1.013294053212513	38	KRSA	0.5375	2	SGK3	SGK
SGK	1.013294053212513	38	KRSA	0.5375	2	SGK2	SGK
CHK1	0.9940285853266984	39	KRSA	0.525	2	NA	CHK1
ATR	0.9776275263581882	40	KRSA	0.5125	2	ATR	ATR
NUAK	-0.8733076019193932	41	KRSA	0.5	2	NA	NUAK
PKN	-0.8639584128176289	42	KRSA	0.4875	3	PKN1	PKN
PKN	-0.8639584128176289	42	KRSA	0.4875	3	PKN2	PKN
PKN	-0.8639584128176289	42	KRSA	0.4875	3	PKN3	PKN
TLK	-0.8615028482982501	43	KRSA	0.475	3	TLK1	TLK
TLK	-0.8615028482982501	43	KRSA	0.475	3	TLK2	TLK
NAK	-0.8511868030553331	44	KRSA	0.4625	3	BMP2K	NAK
NAK	-0.8511868030553331	44	KRSA	0.4625	3	STK16	NAK
NAK	-0.8511868030553331	44	KRSA	0.4625	3	AAK1	NAK
NAK	-0.8511868030553331	44	KRSA	0.4625	3	GAK	NAK
TTK	-0.848339514897639	45	KRSA	0.45	3	TTK	TTK
PKCH	-0.8163015586486183	46	KRSA	0.4375	3	PRKCE	PKCH
PKCH	-0.8163015586486183	46	KRSA	0.4375	3	PRKCH	PKCH
RIPK	0.779667901454308	47	KRSA	0.425	3	RIPK1	RIPK
RIPK	0.779667901454308	47	KRSA	0.425	3	RIPK2	RIPK
RIPK	0.779667901454308	47	KRSA	0.425	3	RIPK3	RIPK
RIPK	0.779667901454308	47	KRSA	0.425	3	ANKK1	RIPK
RIPK	0.779667901454308	47	KRSA	0.425	3	RIPK4	RIPK
PKCA	0.7420839833515713	48	KRSA	0.4125	3	PRKCA	PKCA
PKCA	0.7420839833515713	48	KRSA	0.4125	3	PRKCB	PKCA
PKCA	0.7420839833515713	48	KRSA	0.4125	3	PRKCG	PKCA
HAL	0.7337436782815853	49	KRSA	0.4	3	NPR1	HAL
NDR	0.7158343772860108	50	KRSA	0.3875	3	LATS1	NDR
NDR	0.7158343772860108	50	KRSA	0.3875	3	LATS2	NDR
NDR	0.7158343772860108	50	KRSA	0.3875	3	STK38	NDR
NDR	0.7158343772860108	50	KRSA	0.3875	3	STK38L	NDR
DAPK	-0.7128622175058067	51	KRSA	0.375	3	DAPK1	DAPK
DAPK	-0.7128622175058067	51	KRSA	0.375	3	DAPK3	DAPK
DAPK	-0.7128622175058067	51	KRSA	0.375	3	STK17A	DAPK
DAPK	-0.7128622175058067	51	KRSA	0.375	3	DAPK2	DAPK
DAPK	-0.7128622175058067	51	KRSA	0.375	3	STK17B	DAPK
FRAY	-0.694552421073103	52	KRSA	0.3625	3	STK39	FRAY
FRAY	-0.694552421073103	52	KRSA	0.3625	3	OXSR1	FRAY
BUD32	-0.6242268324018758	53	KRSA	0.35	3	NA	BUD32
KHS	-0.6188168562033831	54	KRSA	0.3375	3	MAP4K1	KHS
KHS	-0.6188168562033831	54	KRSA	0.3375	3	MAP4K2	KHS
KHS	-0.6188168562033831	54	KRSA	0.3375	3	MAP4K5	KHS
KHS	-0.6188168562033831	54	KRSA	0.3375	3	MAP4K3	KHS
WNK	-0.6141838186450369	55	KRSA	0.325	3	WNK1	WNK
WNK	-0.6141838186450369	55	KRSA	0.325	3	WNK2	WNK
WNK	-0.6141838186450369	55	KRSA	0.325	3	WNK3	WNK
WNK	-0.6141838186450369	55	KRSA	0.325	3	WNK4	WNK
CAMKK	-0.608011580639531	56	KRSA	0.3125	3	CAMKK1	CAMKK
CAMKK	-0.608011580639531	56	KRSA	0.3125	3	CAMKK2	CAMKK
SLK	-0.6041565355550869	57	KRSA	0.3	3	STK10	SLK
SLK	-0.6041565355550869	57	KRSA	0.3	3	SLK	SLK
PASK	-0.6033857406155468	58	KRSA	0.2875	3	PASK	PASK
PDK	-0.5987623103935535	59	KRSA	0.275	3	NA	PDK
CLK	-0.587211561210581	60	KRSA	0.2625	3	CLK1	CLK
CLK	-0.587211561210581	60	KRSA	0.2625	3	CLK2	CLK
CLK	-0.587211561210581	60	KRSA	0.2625	3	CLK3	CLK
CLK	-0.587211561210581	60	KRSA	0.2625	3	CLK4	CLK
BRSK	-0.5864417946349183	61	KRSA	0.2375	4	NA	BRSK
ULK	-0.5864417946349183	61	KRSA	0.2375	4	ULK1	ULK
ULK	-0.5864417946349183	61	KRSA	0.2375	4	STK36	ULK
ULK	-0.5864417946349183	61	KRSA	0.2375	4	ULK2	ULK
ULK	-0.5864417946349183	61	KRSA	0.2375	4	ULK3	ULK
ULK	-0.5864417946349183	61	KRSA	0.2375	4	ULK4	ULK
NIK	-0.5841326324219767	62	KRSA	0.225	4	MAP3K14	NIK
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K1	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K5	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K6	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K3	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K4	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K7	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K15	STE11
STE11	-0.5303920057014094	63	KRSA	0.2125	4	MAP3K2	STE11
MLK	-0.489441614151508	64	KRSA	0.2	4	MAP3K10	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	MAP3K11	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	ILK	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	MAP3K12	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	MAP3K13	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	MAP3K9	MLK
MLK	-0.489441614151508	64	KRSA	0.2	4	TNNI3K	MLK
PEK	-0.47508440029509	65	KRSA	0.1875	4	EIF2AK1	PEK
PEK	-0.47508440029509	65	KRSA	0.1875	4	EIF2AK2	PEK
PEK	-0.47508440029509	65	KRSA	0.1875	4	EIF2AK3	PEK
PEK	-0.47508440029509	65	KRSA	0.1875	4	EIF2AK4	PEK
QIK	-0.41276193481398604	66	KRSA	0.175	4	SIK1	QIK
QIK	-0.41276193481398604	66	KRSA	0.175	4	SIK2	QIK
PHK	0.33671746440045863	67	KRSA	0.1625	4	PHKG1	PHK
PHK	0.33671746440045863	67	KRSA	0.1625	4	PHKG2	PHK
COT	-0.33549637116812703	68	KRSA	0.15	4	MAP3K8	COT
MTOR	-0.315639212521741	69	KRSA	0.1375	4	MTOR	MTOR
PKCD	0.3116734075898328	70	KRSA	0.125	4	PRKCD	PKCD
PKCD	0.3116734075898328	70	KRSA	0.125	4	PRKCQ	PKCD
CAMK2	0.20887626179714966	71	KRSA	0.1125	4	CAMK2A	CAMK2
CAMK2	0.20887626179714966	71	KRSA	0.1125	4	CAMK2B	CAMK2
CAMK2	0.20887626179714966	71	KRSA	0.1125	4	CAMK2D	CAMK2
CAMK2	0.20887626179714966	71	KRSA	0.1125	4	CAMK2G	CAMK2
RAF	-0.20114318291228378	72	KRSA	0.1	4	ARAF	RAF
RAF	-0.20114318291228378	72	KRSA	0.1	4	BRAF	RAF
RAF	-0.20114318291228378	72	KRSA	0.1	4	RAF1	RAF
RAF	-0.20114318291228378	72	KRSA	0.1	4	KSR1	RAF
RAF	-0.20114318291228378	72	KRSA	0.1	4	KSR2	RAF
MELK	0.1993308896853563	73	KRSA	0.0875	4	NA	MELK
PRKDC	-0.19572899874824337	74	KRSA	0.075	4	PRKDC	PRKDC
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK2	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK6	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK9	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK11	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK3	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK7	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK4	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK5	NEK
NEK	0.16916247532647719	75	KRSA	0.0625	4	NEK8	NEK
GRK	-0.1680141582011116	76	KRSA	0.05	4	GRK5	GRK
GRK	-0.1680141582011116	76	KRSA	0.05	4	GRK6	GRK
GRK	-0.1680141582011116	76	KRSA	0.05	4	GRK1	GRK
GRK	-0.1680141582011116	76	KRSA	0.05	4	GRK4	GRK
GRK	-0.1680141582011116	76	KRSA	0.05	4	GRK7	GRK
IKK	0.14662285182665563	77	KRSA	0.0375	4	CHUK	IKK
IKK	0.14662285182665563	77	KRSA	0.0375	4	IKBKB	IKK
IKK	0.14662285182665563	77	KRSA	0.0375	4	IKBKE	IKK
IKK	0.14662285182665563	77	KRSA	0.0375	4	TBK1	IKK
STKR	0.12082657464372412	78	KRSA	0.025	4	BMPR1B	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	TGFBR2	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVR1B	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	TGFBR1	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVR1	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVR2B	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	AMHR2	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	BMPR1A	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	BMPR2	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVR1C	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVR2A	STKR
STKR	0.12082657464372412	78	KRSA	0.025	4	ACVRL1	STKR
CK2	-0.11585173553501031	79	KRSA	0.0125	4	CSNK2A1	CK2
CK2	-0.11585173553501031	79	KRSA	0.0125	4	CSNK2A2	CK2
CK2	-0.11585173553501031	79	KRSA	0.0125	4	CSNK2A3	CK2
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1A1	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1D	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1E	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1G1	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1G2	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	CSNK1G3	CK1
CK1	-0.01997267123326271	80	KRSA	0	4	TTBK1	CK1
